year,make,model,trim,state,mileage,color,interior,sellingprice
2011,Land Rover,Range Rover,HSE,tx,28104,silver,black,45000
2008,Land Rover,Range Rover,HSE,nj,100987,black,gray,15100
2012,Land Rover,Range Rover,HSE,mo,59460,black,black,39250
2008,Land Rover,Range Rover,Supercharged,mi,109092,black,tan,16700
2013,Land Rover,Range Rover,HSE,fl,17408,white,beige,82000
2012,Land Rover,Range Rover,HSE,ga,77124,gray,white,38000
2010,Land Rover,Range Rover,HSE,nc,53470,white,beige,32000
2010,Land Rover,Range Rover,Supercharged,fl,76236,black,black,34600
2008,Land Rover,Range Rover,HSE,nc,95077,gray,tan,17700
2008,Land Rover,Range Rover,HSE,va,108739,blue,blue,16100
2008,Land Rover,Range Rover,HSE,pa,89078,black,black,18100
2014,Land Rover,Range Rover,Ebony Edition,fl,4237,white,tan,104000
2011,Land Rover,Range Rover,HSE,nc,61996,black,beige,36000
2010,Land Rover,Range Rover,HSE,fl,62336,white,tan,34000
2012,Land Rover,Range Rover,HSE,pa,51874,white,black,40800
2011,Land Rover,Range Rover,Supercharged,fl,63937,white,beige,37000
2012,Land Rover,Range Rover,HSE,pa,50031,black,black,41900
2012,Land Rover,Range Rover,HSE,tn,61455,black,black,33500
2008,Land Rover,Range Rover,HSE,ca,95988,black,black,17000
2012,Land Rover,Range Rover,HSE,pa,42220,white,tan,45750
2011,Land Rover,Range Rover,HSE,oh,51275,black,black,31100
2009,Land Rover,Range Rover,Supercharged,pa,78490,black,black,27400
2012,Land Rover,Range Rover,HSE,pa,57079,blue,beige,39600
2012,Land Rover,Range Rover,HSE,pa,45214,brown,black,39000
2011,Land Rover,Range Rover,HSE,fl,54555,black,tan,35000
2012,Land Rover,Range Rover,HSE,ca,47506,blue,beige,41300
2011,Land Rover,Range Rover,Supercharged,ca,35705,black,black,45000
2011,Land Rover,Range Rover,HSE,ca,86736,black,black,30500
2000,Land Rover,Range Rover,4.0 SE,ny,154957,black,gray,275
2008,Land Rover,Range Rover,HSE,tx,113107,black,gray,17600
2014,Land Rover,Range Rover,Supercharged,ga,44978,black,beige,86250
2011,Land Rover,Range Rover,Supercharged,tx,18645,black,black,49000
2008,Land Rover,Range Rover,HSE,ca,88149,silver,black,19000
2012,Land Rover,Range Rover,HSE,pa,47243,black,black,44750
2011,Land Rover,Range Rover,Supercharged,pa,64722,white,tan,39500
2009,Land Rover,Range Rover,HSE,pa,59206,gray,black,23150
